category,n_returned_items,mean_profit_erosion,ci_low_95,ci_high_95,ci_width
LEARNING ENVIRONMENTS-FURNITURE-CAFETERIA,166,1613.252361445783,1071.0499253012047,2256.2282081325297,1185.178282831325
LEARNING ENVIRONMENTS-FURNITURE-MEDIA CENTER,280,751.4150857142856,596.642859375,941.6176933035714,344.97483392857146
LEARNING ENVIRONMENTS-FURNITURE-SCIENCE FURNITURE,53,725.4291509433963,580.843283018868,894.901419811321,314.05813679245307
LEARNING ENVIRONMENTS-AV TECH-MULTI-SENSORY,131,632.0466641221375,430.4817727099237,837.678231870229,407.19645916030527
LEARNING ENVIRONMENTS-FURNITURE-STORAGE,845,543.869098224852,477.13457032544375,621.1314156508877,143.99684532544393
LEARNING ENVIRONMENTS-FURNITURE-FACILITIES AND GROUNDS,586,473.46272866894196,410.322608105802,537.8846336177473,127.56202551194536
LEARNING ENVIRONMENTS-FURNITURE-MULTI-SENSORY ENVIRONMENTS,1006,388.2732445328032,356.28342701292246,418.93013804671966,62.6467110337972
LEARNING ENVIRONMENTS-FURNITURE-OFFICE FURNITURE,1558,311.04029075738123,278.2377224165596,349.8018131097561,71.56409069319648
LEARNING ENVIRONMENTS-FURNITURE-ART EQUIPMENT,212,297.64770754716983,231.8347990566038,374.1408409198112,142.30604186320738
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,3310,296.4875105740181,274.4879965181269,322.642994592145,48.15499807401807
EDUCATION ESSENTIALS-SUPPLIES-CHARGES,95,244.23673684210524,84.6714263157895,531.9884131578946,447.31698684210505
LEARNING ENVIRONMENTS-FURNITURE-PRESENTATION,1578,240.01181242078582,226.7717184727503,254.4095529942966,27.637834521546296
LEARNING ENVIRONMENTS-FURNITURE-EARLY LEARNING ENVIRONMENTS,2621,234.7411453643647,222.78255172644026,247.97125513162914,25.188703405188875
LEARNING ENVIRONMENTS-AV TECH-BUSINESS EQUIPMENT_AV,55,233.0494545454546,182.54801363636363,289.22074999999995,106.67273636363632
LEARNING ENVIRONMENTS-FURNITURE-SAFETY-FURNITURE,312,231.11201282051277,179.3082545673077,296.67381217948713,117.36555761217943
LEARNING ENVIRONMENTS-AV TECH-A/V TECHNOLOGY,1173,179.8795924978687,161.65141005967604,201.5101478900256,39.858737830349554
EDUCATION ESSENTIALS-SUPPLIES-ELECTRONIC ACCESSORIES,1262,168.87589540412046,146.21245937004755,194.69287812995245,48.48041875990489
EDUCATION ESSENTIALS-SUPPLIES-BUSINESS MACHINES,1358,134.08355007363772,119.202238365243,148.13963783136964,28.937399466126635
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,4374,110.8069531321445,104.65140545839049,118.14398647119341,13.49258101280293
CURRICULUM-SS SCIENCE-FOSS/DELTA,4872,109.23176087848933,101.57102514880953,119.82051607142856,18.24949092261903
EDUCATION ESSENTIALS-SUPPLIES-SCIENCE EDUCATION,2835,108.61907936507936,98.23985492945326,121.25484343915343,23.014988509700174
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,3087,101.3992228701004,95.8719507936508,107.1963035633301,11.324352769679308
EDUCATION ESSENTIALS-SUPPLIES-JANITORIAL/BREAKROOM SUPPLIES,2691,81.82174842066146,77.23271423262727,87.654962049424,10.422247816796727
CURRICULUM-SS SCIENCE-SCIENCE CATEGORY,422,81.70225355450238,75.2192123815166,88.76833501184832,13.549122630331723
EDUCATION ESSENTIALS-SUPPLIES-PAPER,13747,73.51161031497782,70.94117947006619,76.06563693169419,5.124457461627998
EDUCATION ESSENTIALS-SUPPLIES-SAFETY-SUPPLIES,171,72.42225730994151,60.607538304093566,86.9577197368421,26.350181432748528
EDUCATION ESSENTIALS-SUPPLIES-CAREER TECHNICAL EDUCATION,109,72.21226605504587,60.299730275229365,86.61695527522933,26.317224999999965
EDUCATION ESSENTIALS-SUPPLIES-EARLY LEARNING,2159,66.37790041685965,63.897587019453454,68.56617894858731,4.668591929133854
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,6030,64.79145456053068,62.123491467661694,67.66844364013268,5.544952172470985
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,13677,62.34941661183007,60.79592004825621,64.39353135921621,3.597611310960005
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,6299,61.99628734719797,59.80560921971741,64.16300042863946,4.357391208922053
EDUCATION ESSENTIALS-SUPPLIES-WRITING,10706,59.231866430039226,57.245059043994026,61.395941054081824,4.150882010087798
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,37510,59.18972639296188,58.30597339642761,60.04851364169555,1.7425402452679393
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,4690,56.561143070362476,54.54012796908316,59.17724981876333,4.63712184968017
LEARNING ENVIRONMENTS-FURNITURE-DEFAULT,86,53.56837209302325,37.739226744186034,79.15886627906974,41.41963953488371
EDUCATION ESSENTIALS-SUPPLIES-DEFAULT,35,35.49657142857142,34.413142857142844,36.30914285714285,1.896000000000008
EDUCATION ESSENTIALS-CHARGES-CHARGES,3653,15.383041335888311,12.847839036408432,18.390865247741583,5.543026211333151
