feature,gini_coefficient,concentration_pct,p_value,concentration_level,n_customers,top_20_pct_share
purchase_recency_days,0.5304,53.04,0.0,High,11626,54.17
total_margin_reversal,0.4941,49.41,0.0,Moderate,11988,53.74
total_margin,0.4718,47.18,0.0,Moderate,11988,50.24
total_sales,0.4635,46.35,0.0,Moderate,11988,49.44
total_profit_erosion,0.4093,40.93,0.0,Moderate,11988,47.63
avg_order_value,0.402,40.2,0.0,Moderate,11988,45.73
avg_item_margin,0.3669,36.69,0.0,Moderate,11988,43.81
total_items,0.353,35.3,0.0,Moderate,11988,41.56
avg_item_price,0.3526,35.26,0.0,Moderate,11988,42.55
customer_tenure_days,0.3341,33.41,0.0,Moderate,11689,36.06
avg_erosion_per_return,0.3102,31.02,0.0,Moderate,11988,40.86
order_frequency,0.2809,28.09,0.0,Low,11988,37.5
total_process_cost,0.2761,27.61,0.0,Low,11988,39.52
return_frequency,0.2587,25.87,0.0,Low,11988,38.85
returned_items,0.2587,25.87,0.0,Low,11988,38.85
customer_return_rate,0.2578,25.78,0.0,Low,11988,29.76
avg_basket_size,0.2125,21.25,0.0,Low,11988,34.33
total_orders,0.0464,4.64,0.0,Low,11988,23.89
